                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3328,                 6.1716,                 3.1039,                  1.616,                0.01016,                      1,                 0.2798,                0.16598,                0.00986,                  0.975,                0.27777,                0.12815,                0.85058,                 1.7668,                  2.782,                 1.3912,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.2517,                 5.7409,                 3.0834,                 1.4941,                0.00957,                  0.975,                0.52433,                0.38255,                0.00957,                  0.975,                0.49621,                0.34399,                0.61062,                 1.1345,                 2.7454,                 1.1711,             0.00013518,             0.00013518,             0.00013518
                      3,                0.54229,                 1.2107,                 2.3277,                 1.0415,                0.00916,                      1,                0.63744,                0.53573,                0.00916,                      1,                0.61192,                0.53216,                0.39687,                0.48418,                 2.5904,                0.95172,             0.00018717,             0.00018717,             0.00018717
                      4,                0.37574,                0.29358,                 1.4244,                0.91782,                      1,                0.25755,                0.82233,                0.71499,                      1,                0.25755,                0.82233,                0.71821,                0.42469,                0.60504,                 2.2106,                0.88422,             0.00022266,             0.00022266,             0.00022266
                      5,                0.32383,                0.23563,                 1.0282,                0.87011,                0.98625,                0.85303,                0.97169,                0.89024,                0.98625,                0.85303,                0.97169,                0.87913,                0.37677,                 0.6525,                 1.5796,                0.86436,             0.00024165,             0.00024165,             0.00024165
                      6,                0.30259,                0.21802,                0.84143,                0.84014,                0.95778,                0.91059,                0.98211,                0.91717,                0.95778,                0.91059,                0.98211,                0.92879,                0.36806,                0.55729,                 1.4461,                0.85491,             0.00024413,             0.00024413,             0.00024413
                      7,                0.29492,                0.18762,                0.75572,                0.83127,                0.95247,                  0.975,                0.98496,                0.94991,                0.95247,                  0.975,                0.98496,                0.91907,                0.28233,                0.56178,                  1.217,                0.83001,             0.00023011,             0.00023011,             0.00023011
                      8,                0.29081,                 0.1845,                0.72908,                0.81324,                0.95365,                  0.975,                0.98621,                0.95067,                0.95365,                  0.975,                0.98621,                 0.9348,                0.28151,                0.54389,                 1.0311,                0.82474,             0.00019959,             0.00019959,             0.00019959
                      9,                0.27561,                0.16412,                 0.6849,                0.82991,                0.97141,                0.98139,                0.99143,                0.96488,                0.97141,                0.98139,                0.99143,                0.95054,                0.27111,                 0.4748,                 0.8966,                0.81083,             0.00015256,             0.00015256,             0.00015256
                     10,                0.26942,                0.16917,                0.67402,                  0.825,                0.95207,                0.99418,                0.99262,                0.96635,                0.95207,                0.99418,                0.99262,                0.93605,                0.24726,                0.44365,                0.84885,                0.80776,             8.9034e-05,             8.9034e-05,             8.9034e-05
